"lattitude,longitude,Direction,Speed,startjunction,endjunction"
"7.44197,24.00159,from,94,Mangalore,Duluth"
"22.99392,49.8556,from,91,Asti,Kumluca"
"22.0994,-131.63351,from,32,Montenero Val Cocchiara,Montreal"
"45.29719,77.2194,from,86,Westmeerbeek,Castelbianco"
"-41.56495,33.45805,from,61,Kasur,Henis"
"-45.87557,59.91245,from,82,Lugo,Mandi Bahauddin"
"54.45906,-44.2099,from,15,MaullÌn,Munich"
"78.57594,60.20376,from,4,Ried im Innkreis,Driffield"
"-35.2295,115.12983,from,76,Gˆrlitz,Mazzano Romano"
"48.17509,28.86933,from,52,Wieze,Montereale"
"-15.48458,-32.62206,from,90,Grand-Halleux,Cassaro"
"39.38135,100.14504,from,88,La Florida,Rêves"
"-31.06219,60.26651,from,87,Tarsia,Fresno"
"11.29746,-101.32004,from,88,Uribia,Kirkintilloch"
"39.66534,86.52631,from,76,Gillette,Chatillon"
"5.83062,-158.5541,from,87,Malartic,Aschersleben"
"17.75569,-137.63701,from,50,Bolano,Waarmaarde"
"11.09892,-9.35034,from,34,Burlington,Limal"
"-89.28384,-89.29641,from,34,Lille,Melrose"
"-21.59304,130.40642,from,49,Chesterfield,Chuncheon"
"-28.5284,176.56504,from,4,Laces/Latsch,Woodstock"
"-83.8536,29.20913,from,78,Portree,Tongyeong"
"-6.69042,110.88318,from,14,Palestrina,Campitello di Fassa"
"51.55911,-111.0666,from,51,Santa Fiora,Illapel"
"-71.15806,-66.38547,from,77,San Gregorio nelle Alpi,Bossière"
"89.49619,-97.94047,from,34,Juneau,Precenicco"
"-81.44107,21.62838,from,9,Stonehaven,Montresta"
"-35.34038,-140.70577,from,1,Lapscheure,Ostellato"
"15.88225,-116.98459,from,1,Châtelet,Gimpo"
"0.8253,-28.63184,from,76,F¸rstenwalde,Vejalpur"
"-6.59702,-25.24235,from,59,Monacilioni,Tidore"
"54.42989,146.61372,from,14,Gembloux,Fort Collins"
"-82.36254,107.20463,from,10,Habay-la-Vieille,Newport"
"7.48696,-135.54322,from,24,Murmansk,Bahawalpur"
"-68.35056,-175.27293,from,13,College,Villafranca in Lunigiana"
"79.24446,121.79056,from,14,Durg,Wolkrange"
"-85.41333,-154.36434,from,84,ConcÛn,Bolzano Vicentino"
"16.90913,-86.61554,from,94,Logan City,Castel San NiccolÚ"
"22.62887,-99.56976,from,56,PortobuffolË,Sahiwal"
"-6.88875,137.80771,from,62,Wanaka,Dzerzhinsky"
"66.13,143.19957,from,79,Thurso,Trubchevsk"
"89.89876,-167.648,from,37,Raymond,Millesimo"
"-0.06126,155.51167,from,66,San Vito al Tagliamento,Chicoutimi"
"80.34776,-18.5916,from,12,Limbach-Oberfrohna,North Berwick"
"-8.07246,-96.28311,from,63,Itegem,Sinaai-Waas"
"-14.94648,126.14569,from,90,Lowell,AngoulÍme"
"-57.27284,-25.91549,from,88,Wellingborough,Denbigh"
"-6.82881,-18.24421,from,88,Cambridge,Vilna"
"9.79184,68.54494,from,14,Guarapuava,Martello/Martell"
"14.57771,-74.0726,from,58,San Isidro,Vanderhoof"
"4.20293,-67.09302,from,53,Fort Worth,Biloxi"
"67.50096,-132.93891,from,17,Ballarat,Chile Chico"
"-87.36275,121.2491,from,63,Saint-L?onard,Enterprise"
"82.54253,8.61069,from,100,Lebu,Cleveland"
"37.34706,-74.05645,from,10,Pont-de-Loup,Bellante"
"-4.92262,-165.50786,from,26,Morkhoven,Bussolengo"
"-21.7984,-45.16877,from,3,Dongducheon,Chippenham"
"70.23595,-176.59689,from,79,Coldstream,Vialky"
"49.53077,168.87985,from,0,Rio Saliceto,BorÂs"
"12.31919,-27.90328,from,18,Bowden,Sargodha"
"-18.50582,130.68767,from,69,Lahore,Saint-Prime"
"-83.06311,81.93441,from,67,MonterÌa,Crewe"
"-4.57924,56.09348,from,6,Sefro,San Giacomo degli Schiavoni"
"-82.31625,64.00408,from,14,Mandurah,Santa Marta"
"-68.56366,28.77905,from,15,Melsbroek,Geoje"
"30.64207,-131.62584,from,8,Montemignaio,ToltÈn"
"-28.6958,60.22487,from,8,Valdivia,Kallo"
"15.76361,-140.04854,from,88,Belvedere Ostrense,Osgoode"
"83.76261,112.64067,from,40,Greenlaw,Chonchi"
"46.07716,-88.81138,from,34,Angol,Hilo"
"40.94594,-31.90658,from,24,Cairns,Eckernfˆrde"
"-24.33697,-129.44954,from,2,Saint-Pierre,Huntsville"
"19.20274,143.61764,from,93,Whitchurch,MÈrignac"
"14.88475,146.18262,from,36,Tay,Itterbeek"
"26.31947,-22.08498,from,89,Manaure,PiotrkÛw Trybunalski"
"-53.3309,149.50689,from,32,Zapopan,Paulatuk"
"-75.38237,179.82665,from,51,North Dum Dum,Guwahati"
"46.1961,-2.2563,from,18,Newquay,Coutisse"
"-67.53012,33.35891,from,19,Eisenstadt,Sambalpur"
"-41.14657,81.82773,from,7,Sangerhausen,Filot"
"-51.03459,122.63919,from,93,Schˆnebeck,Horsham"
"-4.91686,-73.36335,from,57,Montignoso,Draguignan"
"-43.33063,-105.55111,from,4,Troyes,Astrakhan"
"63.15822,67.01887,from,55,Pozzuolo del Friuli,Rajahmundry"
"28.83407,-83.5138,from,77,Krasnozavodsk,Vicoli"
"31.27259,-2.54336,from,11,Puerto Vallarta,Maracana˙"
"-1.67857,60.95327,from,13,Uluberia,Saint-Georges"
"-66.40913,-127.60814,from,69,Titagarh,Pike Creek"
"-52.16051,150.26668,from,36,Sambalpur,Casnate con Bernate"
"-58.09854,-98.99626,from,86,Mainz,Gaasbeek"
"20.75965,52.14207,from,26,Heule,Santa Rosa de Cabal"
"-63.93779,-18.16912,from,86,Worcester,Nobressart"
"34.99911,-57.06507,from,72,Te Puke,Lembeek"
"-63.86189,-131.44321,from,62,Poederlee,Saint-Remy-Geest"
"-7.13505,137.4796,from,36,Liége,Hapur"
"-43.33715,113.15334,from,88,Evere,Borisovka"
"-65.05941,-39.46672,from,75,Cz?stochowa,Davenport"
"-67.33843,86.61882,from,95,Gold Coast,Isle-aux-Coudres"
"-17.06062,48.0118,from,87,Buggenhout,Baranello"
"-5.61101,2.39908,from,64,IbaguÈ,B¸nyan"
